YEAR,REGION,AGE_GROUP,GENDER,GENDER_LABEL,POPULATION_INSEE,NB_DEPARTMENTS
2022,Auvergne-Rhone-Alpes,0-19 ans,ALL,Ensemble,1944700,1
2022,Auvergne-Rhone-Alpes,0-19 ans,F,F,946507,1
2022,Auvergne-Rhone-Alpes,0-19 ans,M,M,998193,1
2022,Auvergne-Rhone-Alpes,20-39 ans,ALL,Ensemble,1945989,1
2022,Auvergne-Rhone-Alpes,20-39 ans,F,F,974677,1
2022,Auvergne-Rhone-Alpes,20-39 ans,M,M,971312,1
2022,Auvergne-Rhone-Alpes,40-59 ans,ALL,Ensemble,2107973,1
2022,Auvergne-Rhone-Alpes,40-59 ans,F,F,1062770,1
2022,Auvergne-Rhone-Alpes,40-59 ans,M,M,1045203,1
2022,Auvergne-Rhone-Alpes,60-74 ans,ALL,Ensemble,1368077,1
2022,Auvergne-Rhone-Alpes,60-74 ans,F,F,722068,1
2022,Auvergne-Rhone-Alpes,60-74 ans,M,M,646009,1
2022,Auvergne-Rhone-Alpes,75+ ans,ALL,Ensemble,797145,1
2022,Auvergne-Rhone-Alpes,75+ ans,F,F,479244,1
2022,Auvergne-Rhone-Alpes,75+ ans,M,M,317901,1
2022,Auvergne-Rhône-Alpes,0-19 ans,ALL,Ensemble,3889400,1
2022,Auvergne-Rhône-Alpes,0-19 ans,F,F,1893014,1
2022,Auvergne-Rhône-Alpes,0-19 ans,M,M,1996386,1
2022,Auvergne-Rhône-Alpes,20-39 ans,ALL,Ensemble,3891978,1
2022,Auvergne-Rhône-Alpes,20-39 ans,F,F,1949354,1
2022,Auvergne-Rhône-Alpes,20-39 ans,M,M,1942624,1
2022,Auvergne-Rhône-Alpes,40-59 ans,ALL,Ensemble,4215946,1
2022,Auvergne-Rhône-Alpes,40-59 ans,F,F,2125540,1
2022,Auvergne-Rhône-Alpes,40-59 ans,M,M,2090406,1
2022,Auvergne-Rhône-Alpes,60-74 ans,ALL,Ensemble,2736154,1
2022,Auvergne-Rhône-Alpes,60-74 ans,F,F,1444136,1
2022,Auvergne-Rhône-Alpes,60-74 ans,M,M,1292018,1
2022,Auvergne-Rhône-Alpes,75+ ans,ALL,Ensemble,1594290,1
2022,Auvergne-Rhône-Alpes,75+ ans,F,F,958488,1
